restaurant_name,rating,price_for_one,cuisine,item_name,description,price
The Pindi Bowl,3.9,₹150 for one,"North Indian, Chinese",Paneer Butter Masala Rice Bowl,,₹199
The Pindi Bowl,3.9,₹150 for one,"North Indian, Chinese",Chicken Keema Rice Bowl,Chicken keema cooked with some typical Indian masala.,₹210
The Pindi Bowl,3.9,₹150 for one,"North Indian, Chinese",Chicken Keema Rice Bowl,,₹210
The Pindi Bowl,3.9,₹150 for one,"North Indian, Chinese",Chicken Masala Rice Bowl,Spicy and flavorful chicken masala.,₹210
The Pindi Bowl,3.9,₹150 for one,"North Indian, Chinese",Chicken Masala Rice Bowl,,₹210
The Pindi Bowl,3.9,₹150 for one,"North Indian, Chinese",Kadai Paneer Rice Bowl,Flavorful delicious made by paneer and bell peppers fresh ground spices.,₹210
The Pindi Bowl,3.9,₹150 for one,"North Indian, Chinese",Kadai Paneer Rice Bowl,,₹210
The Pindi Bowl,3.9,₹150 for one,"North Indian, Chinese",Paneer Lababdar Rice Bowl,Very popular dish creamy and rich gravy made with cottage cheese.,₹199
The Pindi Bowl,3.9,₹150 for one,"North Indian, Chinese",Paneer Lababdar Rice Bowl,,₹199
The Pindi Bowl,3.9,₹150 for one,"North Indian, Chinese",Bengali Fish Curry with Rice Bowl,Bengali fish curry made with basic flavor of mustard seeds and home style ... read more,₹210
The Pindi Bowl,3.9,₹150 for one,"North Indian, Chinese",Bengali Fish Curry with Rice Bowl,,₹210
The Pindi Bowl,3.9,₹150 for one,"North Indian, Chinese",Dal Tadka with Rice [1 Bowl],,₹199
The Pindi Bowl,3.9,₹150 for one,"North Indian, Chinese",Chilli Fish Noodle Bowl,,₹210
The Pindi Bowl,3.9,₹150 for one,"North Indian, Chinese",Chilli Fish Fried Rice Bowl,,₹210
The Pindi Bowl,3.9,₹150 for one,"North Indian, Chinese",Hot Chicken Salad,,₹220
The Pindi Bowl,3.9,₹150 for one,"North Indian, Chinese",Hot Paneer Salad,Cottage cheese tossed with veggies.,₹199
The Pindi Bowl,3.9,₹150 for one,"North Indian, Chinese",Hot Paneer Salad,,₹199
The Pindi Bowl,3.9,₹150 for one,"North Indian, Chinese",Paneer Barbeque Steaks,Paneer [160 g] grilled in olive oil with barbeque sauce.,₹230
The Pindi Bowl,3.9,₹150 for one,"North Indian, Chinese",Paneer Barbeque Steaks,,₹230
The Pindi Bowl,3.9,₹150 for one,"North Indian, Chinese",Grilled Chicken,Marinated grilled chicken served with sauteed veggies.,₹250
The Pindi Bowl,3.9,₹150 for one,"North Indian, Chinese",Grilled Chicken,,₹250
The Pindi Bowl,3.9,₹150 for one,"North Indian, Chinese",Veg Manchurian,,₹199
The Pindi Bowl,3.9,₹150 for one,"North Indian, Chinese",Chilli Paneer,,₹230
The Pindi Bowl,3.9,₹150 for one,"North Indian, Chinese",Honey Chilli Potato,,₹199
The Pindi Bowl,3.9,₹150 for one,"North Indian, Chinese",Chilli Chicken,"A very popular Chinese dish made with crispy fried chicken in wok, tossed ... read more",₹250
The Pindi Bowl,3.9,₹150 for one,"North Indian, Chinese",Chilli Chicken,,₹250
The Pindi Bowl,3.9,₹150 for one,"North Indian, Chinese",Lemon Chicken,,₹250
The Pindi Bowl,3.9,₹150 for one,"North Indian, Chinese",Schezwan Chilli Chicken,A very popular Chinese dish made with crispy chicken wok tossed in spicy ... read more,₹250
The Pindi Bowl,3.9,₹150 for one,"North Indian, Chinese",Schezwan Chilli Chicken,,₹250
The Pindi Bowl,3.9,₹150 for one,"North Indian, Chinese",Drums of Heaven,Wings part of chicken it's very popular Chinese appetizer.,₹250
The Pindi Bowl,3.9,₹150 for one,"North Indian, Chinese",Drums of Heaven,,₹250
The Pindi Bowl,3.9,₹150 for one,"North Indian, Chinese",Crispy Chicken Wings,Non veg appitizers.,₹250
The Pindi Bowl,3.9,₹150 for one,"North Indian, Chinese",Crispy Chicken Wings,,₹250
The Pindi Bowl,3.9,₹150 for one,"North Indian, Chinese",Chilli Potato,,₹180
The Pindi Bowl,3.9,₹150 for one,"North Indian, Chinese",Chilli Fish Dry,,₹250
The Pindi Bowl,3.9,₹150 for one,"North Indian, Chinese",Veg Schezwan Fried Rice,Fried Rice,₹220
The Pindi Bowl,3.9,₹150 for one,"North Indian, Chinese",Veg Schezwan Fried Rice,,₹220
The Pindi Bowl,3.9,₹150 for one,"North Indian, Chinese",Veg Fried Rice,,₹170
The Pindi Bowl,3.9,₹150 for one,"North Indian, Chinese",Non Veg Fried Rice,,₹240
The Pindi Bowl,3.9,₹150 for one,"North Indian, Chinese",Non Veg Schezwan Fried Rice,,₹240
The Pindi Bowl,3.9,₹150 for one,"North Indian, Chinese",Veg Chilli Garlic Noodles,Noodles,₹170
